color_name,hex,R,G,B,color_class
Catalina Blue,#062a78,6,42,120,Blue
Ceil,#92a1cf,146,161,207,Blue
Celadon,#ace1af,172,225,175,Green
Celadon Blue,#007ba7,0,123,167,Blue
Celadon Green,#2f847c,47,132,124,Green
Celeste (Colour),#b2ffff,178,255,255,Blue
Celestial Blue,#4997d0,73,151,208,Blue
Cerise,#de3163,222,49,99,Pink
Cerise Pink,#ec3b83,236,59,131,Pink
Cerulean,#007ba7,0,123,167,Blue
Cerulean Blue,#2a52be,42,82,190,Blue
Cerulean Frost,#6d9bc3,109,155,195,Blue
Cg Blue,#007aa5,0,122,165,Blue
Cg Red,#e03c31,224,60,49,Red
Chamoisee,#a0785a,160,120,90,Brown
Champagne,#fad6a5,250,214,165,Orange
Charcoal,#36454f,54,69,79,Grey
Charm Pink,#e68fac,230,143,172,Pink
Chartreuse (Traditional),#dfff00,223,255,0,Yellow
Chartreuse (Web),#7fff00,127,255,0,Green
Cherry,#de3163,222,49,99,Pink
Cherry Blossom Pink,#ffb7c5,255,183,197,Pink
Chestnut,#cd5c5c,205,92,92,Pink
China Pink,#de6fa1,222,111,161,Pink
China Rose,#a8516e,168,81,110,Pink
Chinese Red,#aa381e,170,56,30,Red
Chocolate (Traditional),#7b3f00,123,63,0,Brown
Chocolate (Web),#d2691e,210,105,30,Brown
Chrome Yellow,#ffa700,255,167,0,Yellow
Cinereous,#98817b,152,129,123,Brown
Cinnabar,#e34234,227,66,52,Orange
Cinnamon,#d2691e,210,105,30,Orange
Citrine,#e4d00a,228,208,10,Yellow
Classic Rose,#fbcce7,251,204,231,Pink
Cobalt,#0047ab,0,71,171,Blue
Cocoa Brown,#d2691e,210,105,30,Orange
Coffee,#6f4e37,111,78,55,Brown
Columbia Blue,#9bddff,155,221,255,Blue
Congo Pink,#f88379,248,131,121,Pink
Cool Black,#002e63,0,46,99,Blue
Cool Grey,#8c92ac,140,146,172,Grey
Copper,#b87333,184,115,51,Orange
Copper (Crayola),#da8a67,218,138,103,Orange
Copper Penny,#ad6f69,173,111,105,Brown
Copper Red,#cb6d51,203,109,81,Orange
Copper Rose,#966,153,102,102,Brown
Coquelicot,#ff3800,255,56,0,Red
Coral,#ff7f50,255,127,80,Orange
Coral Pink,#f88379,248,131,121,Pink
Coral Red,#ff4040,255,64,64,Red
Cordovan,#893f45,137,63,69,Red
Corn,#fbec5d,251,236,93,Yellow
Cornell Red,#b31b1b,179,27,27,Red
Cornflower Blue,#6495ed,100,149,237,Blue
Cornsilk,#fff8dc,255,248,220,Yellow
Cosmic Latte,#fff8e7,255,248,231,Yellow
Cotton Candy,#ffbcd9,255,188,217,Pink
Cream,#fffdd0,255,253,208,Yellow
Crimson,#dc143c,220,20,60,Red
Crimson Glory,#be0032,190,0,50,Red
Cyan,#0ff,0,255,255,Blue
Cyan (Process),#00b7eb,0,183,235,Blue
Daffodil,#ffff31,255,255,49,Yellow
Dandelion,#f0e130,240,225,48,Yellow
Dark Blue,#00008b,0,0,139,Blue
Dark Brown,#654321,101,67,33,Brown
Dark Byzantium,#5d3954,93,57,84,Purple
Dark Candy Apple Red,#a40000,164,0,0,Red
Dark Cerulean,#08457e,8,69,126,Blue
Dark Chestnut,#986960,152,105,96,Brown
Dark Coral,#cd5b45,205,91,69,Orange
Dark Cyan,#008b8b,0,139,139,Blue
Dark Electric Blue,#536878,83,104,120,Blue
Dark Goldenrod,#b8860b,184,134,11,Yellow
Dark Gray,#a9a9a9,169,169,169,Grey
Dark Green,#013220,1,50,32,Green
Dark Imperial Blue,#00416a,0,65,106,Blue
Dark Jungle Green,#1a2421,26,36,33,Green
Dark Khaki,#bdb76b,189,183,107,Green
Dark Lava,#483c32,72,60,50,Brown
Dark Lavender,#734f96,115,79,150,Purple
Dark Magenta,#8b008b,139,0,139,Purple
Dark Midnight Blue,#036,0,51,102,Blue
Dark Olive Green,#556b2f,85,107,47,Green
Dark Orange,#ff8c00,255,140,0,Orange
Dark Orchid,#9932cc,153,50,204,Purple
Dark Pastel Blue,#779ecb,119,158,203,Blue
Dark Pastel Green,#03c03c,3,192,60,Green
Dark Pastel Purple,#966fd6,150,111,214,Purple
Dark Pastel Red,#c23b22,194,59,34,Red
Dark Pink,#e75480,231,84,128,Pink
Dark Powder Blue,#039,0,51,153,Blue
Dark Raspberry,#872657,135,38,87,Purple
Dark Red,#8b0000,139,0,0,Red
Dark Salmon,#e9967a,233,150,122,Pink
